vehicle_id,ultimo_timestamp,ultima_latitud,ultima_longitud
1,2025-06-30 19:00:21,,
2,2025-06-25 13:43:26,,
3,2025-06-30 20:54:29,,
4,2025-06-30 23:46:49,,
6,2025-06-30 15:50:03,,
7,2025-06-30 23:40:18,,
8,2025-06-30 23:52:39,,
9,2025-06-30 15:41:05,,
10,2025-06-30 23:09:23,,
11,2025-06-30 22:23:20,,
12,2025-06-30 21:35:50,,
13,2025-06-30 23:57:34,,
14,2025-06-30 23:56:09,,
15,2025-06-30 18:30:38,,
16,2025-06-30 22:44:40,,
17,2025-06-30 23:42:14,,
18,2025-06-30 22:34:38,,
19,2025-06-30 23:43:13,,
20,2025-06-30 22:51:21,,
21,2025-06-30 19:01:30,,
22,2025-06-30 18:57:24,,
23,2025-06-30 04:50:42,,
24,2025-06-30 23:57:14,,
25,2025-06-30 23:51:07,,
26,2025-06-30 23:49:00,,
27,2025-06-30 16:20:49,,
28,2025-06-30 23:35:35,,
29,2025-06-30 21:10:38,,
30,2025-06-29 00:41:52,,
31,2025-06-30 18:50:00,,
32,2025-06-30 22:19:57,,
33,2025-06-30 23:43:02,,
34,2025-06-30 18:23:35,,
35,2025-06-30 23:55:09,,
36,2025-06-30 23:50:11,,
37,2025-06-30 23:57:43,,
38,2025-06-30 19:46:26,,
39,2025-06-30 23:21:26,,
40,2025-06-30 23:43:27,,
41,2025-06-30 23:49:53,,
42,2025-06-30 23:55:51,,
43,2025-06-30 23:48:06,,
44,2025-06-24 18:24:49,,
45,2025-06-30 23:49:25,,
46,2025-06-30 17:45:10,,
47,2025-06-30 19:48:13,,
48,2025-06-30 23:58:20,,
49,2025-06-30 23:42:15,,
50,2025-06-30 23:45:14,,
51,2025-06-30 22:12:16,,
52,2025-06-30 23:26:50,,
53,2025-06-30 23:13:52,,
54,2025-06-30 23:57:17,,
55,2025-06-30 23:03:00,,
56,2025-06-30 22:44:23,,
57,2025-06-30 02:41:05,,
58,2025-06-30 09:32:06,,
59,2025-06-30 08:12:38,,
60,2025-06-30 23:11:50,,
61,2025-06-30 23:58:19,,
62,2025-06-30 23:40:00,,
63,2025-06-30 22:24:13,,
64,2025-06-30 16:33:11,,
65,2025-06-30 23:52:28,,
66,2025-06-30 23:46:26,,
67,2025-06-30 22:58:12,,
68,2025-06-30 23:58:59,,
69,2025-06-30 23:27:21,,
70,2025-06-30 23:57:40,,
71,2025-06-30 23:57:47,,
72,2025-06-30 23:56:00,,
73,2025-06-30 20:14:33,,
74,2025-06-30 23:59:46,,
75,2025-06-30 23:58:54,,
76,2025-06-30 23:51:56,,
77,2025-06-30 21:24:40,,
78,2025-06-30 23:25:01,,
79,2025-06-30 23:59:42,,
80,2025-06-30 23:30:37,,
81,2025-06-30 16:36:45,,
82,2025-06-30 23:14:32,,
83,2025-06-30 23:28:29,,
84,2025-06-12 09:42:57,,
85,2025-06-30 23:26:45,,
86,2025-06-30 22:22:08,,
87,2025-06-30 23:52:43,,
88,2025-06-30 23:46:36,,
89,2025-06-30 23:27:33,,
90,2025-06-30 23:55:28,,
91,2025-06-30 23:16:32,,
92,2025-06-30 21:12:55,,
93,2025-06-30 23:58:44,,
94,2025-06-30 22:48:19,,
95,2025-06-30 23:55:40,,
96,2025-06-30 22:35:43,,
97,2025-06-30 23:52:00,,
98,2025-06-30 23:39:53,,
100,2025-06-30 23:51:57,,
101,2025-06-30 23:10:04,,
